0,4.9,3.0,49.0,1.4,0.2,Iris-setosa
1,4.7,3.2,47.0,1.3,0.2,Iris-setosa
2,4.6,3.1,46.0,1.5,0.2,Iris-setosa
3,5.0,3.6,50.0,1.4,0.2,Iris-setosa
4,5.4,3.9,54.0,1.7,0.4,Iris-setosa
5,4.6,3.4,46.0,1.4,0.3,Iris-setosa
6,5.0,3.4,50.0,1.5,0.2,Iris-setosa
7,4.4,2.9,44.0,1.4,0.2,Iris-setosa
8,4.9,3.1,49.0,1.5,0.1,Iris-setosa
9,5.4,3.7,54.0,1.5,0.2,Iris-setosa
10,4.8,3.4,48.0,1.6,0.2,Iris-setosa
11,4.8,3.0,48.0,1.4,0.1,Iris-setosa
12,4.3,3.0,43.0,1.1,0.1,Iris-setosa
13,5.8,4.0,58.0,1.2,0.2,Iris-setosa
14,5.7,4.4,57.0,1.5,0.4,Iris-setosa
15,5.4,3.9,54.0,1.3,0.4,Iris-setosa
16,5.1,3.5,51.0,1.4,0.3,Iris-setosa
17,5.7,3.8,57.0,1.7,0.3,Iris-setosa
18,5.1,3.8,51.0,1.5,0.3,Iris-setosa
19,5.4,3.4,54.0,1.7,0.2,Iris-setosa
20,5.1,3.7,51.0,1.5,0.4,Iris-setosa
21,4.6,3.6,46.0,1.0,0.2,Iris-setosa
22,5.1,3.3,51.0,1.7,0.5,Iris-setosa
23,4.8,3.4,48.0,1.9,0.2,Iris-setosa
24,5.0,3.0,50.0,1.6,0.2,Iris-setosa
25,5.0,3.4,50.0,1.6,0.4,Iris-setosa
26,5.2,3.5,52.0,1.5,0.2,Iris-setosa
27,5.2,3.4,52.0,1.4,0.2,Iris-setosa
28,4.7,3.2,47.0,1.6,0.2,Iris-setosa
29,4.8,3.1,48.0,1.6,0.2,Iris-setosa
30,5.4,3.4,54.0,1.5,0.4,Iris-setosa
31,5.2,4.1,52.0,1.5,0.1,Iris-setosa
32,5.5,4.2,55.0,1.4,0.2,Iris-setosa
33,4.9,3.1,49.0,1.5,0.1,Iris-setosa
34,5.0,3.2,50.0,1.2,0.2,Iris-setosa
35,5.5,3.5,55.0,1.3,0.2,Iris-setosa
36,4.9,3.1,49.0,1.5,0.1,Iris-setosa
37,4.4,3.0,44.0,1.3,0.2,Iris-setosa
38,5.1,3.4,51.0,1.5,0.2,Iris-setosa
39,5.0,3.5,50.0,1.3,0.3,Iris-setosa
40,4.5,2.3,45.0,1.3,0.3,Iris-setosa
41,4.4,3.2,44.0,1.3,0.2,Iris-setosa
42,5.0,3.5,50.0,1.6,0.6,Iris-setosa
43,5.1,3.8,51.0,1.9,0.4,Iris-setosa
44,4.8,3.0,48.0,1.4,0.3,Iris-setosa
45,5.1,3.8,51.0,1.6,0.2,Iris-setosa
46,4.6,3.2,46.0,1.4,0.2,Iris-setosa
47,5.3,3.7,53.0,1.5,0.2,Iris-setosa
48,5.0,3.3,50.0,1.4,0.2,Iris-setosa
49,7.0,3.2,70.0,4.7,1.4,Iris-versicolor
50,6.4,3.2,64.0,4.5,1.5,Iris-versicolor
51,6.9,3.1,69.0,4.9,1.5,Iris-versicolor
52,5.5,2.3,55.0,4.0,1.3,Iris-versicolor
53,6.5,2.8,65.0,4.6,1.5,Iris-versicolor
54,5.7,2.8,57.0,4.5,1.3,Iris-versicolor
55,6.3,3.3,63.0,4.7,1.6,Iris-versicolor
56,4.9,2.4,49.0,3.3,1.0,Iris-versicolor
57,6.6,2.9,66.0,4.6,1.3,Iris-versicolor
58,5.2,2.7,52.0,3.9,1.4,Iris-versicolor
59,5.0,2.0,50.0,3.5,1.0,Iris-versicolor
60,5.9,3.0,59.0,4.2,1.5,Iris-versicolor
61,6.0,2.2,60.0,4.0,1.0,Iris-versicolor
62,6.1,2.9,61.0,4.7,1.4,Iris-versicolor
63,5.6,2.9,56.0,3.6,1.3,Iris-versicolor
64,6.7,3.1,67.0,4.4,1.4,Iris-versicolor
